Id,Name,Department,Course Code,Year Level,Total Classes,Attended Classes,Absent Classes,Late Classes,Attendance Rate,Risk Level,Status,Student Number
"771","Adriana Aguilar","College of Business & Accountancy","BSMA","THIRD_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-00771"
"4410","Adriana Gonzalez","College of Business & Accountancy","BSAIS1","SECOND_YEAR","20","16","1","2","80","MEDIUM","ACTIVE","2025-04410"
"986","Adriana Herrera","College of Business & Accountancy","BSIA","THIRD_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-00986"
"4836","Adriana Torres","College of Business & Accountancy","BSIA1","THIRD_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-04836"
"10362","Adriana Flores","College of Teacher Education","BSEd-FIL2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10362"
"3967","Adriana Sandoval","College of Arts & Sciences","ABCom1","FIRST_YEAR","20","14","0","4","70","HIGH","ACTIVE","2025-03967"
"10202","Adriana Acosta","College of Teacher Education","BSEd-ENG2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10202"
"7201","Adriana Guzman","College of Criminology & Administration","BSPA1","SECOND_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-07201"
"1059","Adriana Rodriguez","College of Business & Accountancy","BSBA-MAN","THIRD_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-01059"
"9985","Adriana Estrada","College of Teacher Education","BECEd2","THIRD_YEAR","20","15","2","1","75","MEDIUM","ACTIVE","2025-09985"
"1428","Adriana Mejia","College of Business & Accountancy","BSBA-HR","THIRD_YEAR","20","13","1","5","65","HIGH","ACTIVE","2025-01428"
"5451","Adriana Molina","College of Business & Accountancy","BSBA-MAN9","FOURTH_YEAR","20","12","3","5","60","HIGH","ACTIVE","2025-05451"
"7145","Adriana Contreras","College of Criminology & Administration","BSISM1","FOURTH_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-07145"
"6042","Adriana Flores","College of Teacher Education","BECEd1","FOURTH_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-06042"
"4788","Adriana Vasquez","College of Business & Accountancy","BSREM1","FIRST_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-04788"
"2952","Adriana Ruiz","College of Teacher Education","BTVTEd-II","THIRD_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-02952"
"411","Adriana Ruiz","College of Business & Accountancy","ABA","FIRST_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-00411"
"9753","Adriana Carrillo","College of Computer Studies","BSIT2","THIRD_YEAR","20","18","2","0","90","NONE","ACTIVE","2025-09753"
"7001","Adriana Romero","College of Criminology & Administration","BSC1","THIRD_YEAR","20","18","1","0","90","NONE","ACTIVE","2025-07001"
"2379","Adriana Rojas","College of Teacher Education","BSEd-MAN","FIRST_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-02379"
"5286","Adriana Valencia","College of Business & Accountancy","BSBA-MAN8","THIRD_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-05286"
"649","Adriana Molina","College of Business & Accountancy","BSA","SECOND_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-00649"
"9518","Adriana Acosta","College of Computer Studies","ACT2","FIRST_YEAR","20","16","0","4","80","MEDIUM","ACTIVE","2025-09518"
"5894","Adriana Ramirez","College of Computer Studies","BSIT1","FIRST_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-05894"
"2748","Adriana Guerrero","College of Teacher Education","BSEd-SCI","THIRD_YEAR","20","15","3","1","75","MEDIUM","ACTIVE","2025-02748"
"3882","Adriana Contreras","International School of Hospitality & Tourism Management","BSTM","FOURTH_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-03882"
"4281","Adriana Mendoza","College of Arts & Sciences","BSP1","FIRST_YEAR","20","18","1","0","90","NONE","ACTIVE","2025-04281"
"7990","Adriana Molina","College of Arts & Sciences","ABEng2","THIRD_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-07990"
"4452","Adriana Acosta","College of Business & Accountancy","BSAIS1","FIRST_YEAR","20","17","3","0","85","LOW","ACTIVE","2025-04452"
"6766","Adriana Jimenez","College of Teacher Education","BTVTEd-HEH1","THIRD_YEAR","20","15","0","3","75","MEDIUM","ACTIVE","2025-06766"
"3964","Adriana Perez","College of Arts & Sciences","ABCom1","FOURTH_YEAR","20","16","0","3","80","MEDIUM","ACTIVE","2025-03964"
"9367","Adriana Ramos","College of Business & Accountancy","BSBA-MAN14","FIRST_YEAR","20","13","4","1","65","HIGH","ACTIVE","2025-09367"
"3490","Adriana Beatriz Galvan","College of Engineering","BSCE-TEC","THIRD_YEAR","20","16","1","3","80","MEDIUM","ACTIVE","2025-03490"
"1421","Adriana Beatriz Vargas","College of Business & Accountancy","BSBA-HR","THIRD_YEAR","20","16","1","2","80","MEDIUM","ACTIVE","2025-01421"
"7519","Adriana Beatriz Ramos","College of Health Sciences","BSMedTech1","FIRST_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-07519"
"8841","Adriana Beatriz Maldonado","College of Business & Accountancy","BSBA-MAN10","SECOND_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-08841"
"1609","Adriana Beatriz Diaz","College of Business & Accountancy","BSBA-BE","FOURTH_YEAR","20","15","1","2","75","MEDIUM","ACTIVE","2025-01609"
"3441","Adriana Beatriz Reyes","College of Engineering","BSCE-TEC","THIRD_YEAR","20","12","1","3","60","HIGH","ACTIVE","2025-03441"
"8706","Adriana Beatriz Castro","College of Business & Accountancy","BSIA2","FIRST_YEAR","20","16","0","2","80","MEDIUM","ACTIVE","2025-08706"
"3041","Adriana Beatriz Alvarado","College of Maritime Education & Training","BSMT","THIRD_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-03041"
"125","Adriana Beatriz Mendoza","College of Arts & Sciences","ABEng","FOURTH_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-00125"
"2026","Adriana Beatriz Vargas","College of Computer Studies","BSIS","SECOND_YEAR","20","16","1","3","80","MEDIUM","ACTIVE","2025-02026"
"8283","Adriana Beatriz Garcia","College of Business & Accountancy","ABA2","FOURTH_YEAR","20","17","1","1","85","LOW","ACTIVE","2025-08283"
"6719","Adriana Beatriz Lopez","College of Teacher Education","BTVTEd-HEH1","SECOND_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-06719"
"2382","Adriana Beatriz Gutierrez","College of Teacher Education","BSEd-MAN","FOURTH_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-02382"
"8599","Adriana Beatriz Vargas","College of Business & Accountancy","BSMA2","THIRD_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-08599"
"1858","Adriana Beatriz Valencia","College of Computer Studies","BSCS","THIRD_YEAR","20","19","1","0","95","NONE","ACTIVE","2025-01858"
"515","Adriana Beatriz Flores","College of Business & Accountancy","BSAIS","SECOND_YEAR","20","14","3","2","70","HIGH","ACTIVE","2025-00515"
"675","Adriana Beatriz Gomez","College of Business & Accountancy","BSA","THIRD_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-00675"
"7649","Adriana Beatriz Mendoza","International School of Hospitality & Tourism Management","BSHM1","THIRD_YEAR","20","14","1","5","70","HIGH","ACTIVE","2025-07649"
"441","Adriana Beatriz Garcia","College of Business & Accountancy","ABA","FIRST_YEAR","20","14","2","4","70","HIGH","ACTIVE","2025-00441"
"1688","Adriana Beatriz Garcia","College of Business & Accountancy","BSBA-BE","SECOND_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-01688"
"1093","Adriana Beatriz Martinez","College of Business & Accountancy","BSBA-MAN","THIRD_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-01093"
"6442","Adriana Beatriz Torres","College of Teacher Education","BSEd-FIL1","THIRD_YEAR","20","15","1","2","75","MEDIUM","ACTIVE","2025-06442"
"11118","Adriana Beatriz Rivera","College of Criminology & Administration","BSPA2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11118"
"6375","Adriana Beatriz Carrillo","College of Teacher Education","BSEd-ENG1","THIRD_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-06375"
"6392","Adriana Beatriz Valdez","College of Teacher Education","BSEd-ENG1","FIRST_YEAR","20","14","1","3","70","HIGH","ACTIVE","2025-06392"
"6485","Adriana Beatriz Velazquez","College of Teacher Education","BSEd-FIL1","SECOND_YEAR","20","11","4","3","55","HIGH","ACTIVE","2025-06485"
"3524","Adriana Beatriz Morales","College of Engineering","BSELE-BRO","THIRD_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-03524"
"2637","Adriana Beatriz Rodriguez","College of Teacher Education","BSEd-MAT","SECOND_YEAR","20","12","1","6","60","HIGH","ACTIVE","2025-02637"
"3407","Adriana Beatriz Flores","College of Engineering","BSCE-TEC","FIRST_YEAR","20","16","0","1","80","MEDIUM","ACTIVE","2025-03407"
"7653","Adriana Beatriz Flores","International School of Hospitality & Tourism Management","BSHM1","FOURTH_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-07653"
"8489","Adriana Beatriz Vasquez","College of Business & Accountancy","BSA2","FOURTH_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-08489"
"4109","Adriana Beatriz Rivas","College of Arts & Sciences","BSM1","FOURTH_YEAR","20","17","0","1","85","LOW","ACTIVE","2025-04109"
"25","Adriana Beatriz Acosta","College of Arts & Sciences","ABCom","THIRD_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-00025"
"11011","Adriana Beatriz Pena","College of Criminology & Administration","BSISM2","FIRST_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11011"
"11413","Adriana Beatriz Gutierrez","College of Health Sciences","BSMedTech2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11413"
"3422","Adriana Beatriz Castro","College of Engineering","BSCE-TEC","THIRD_YEAR","20","15","2","3","75","MEDIUM","ACTIVE","2025-03422"
"10591","Adriana Beatriz Gomez","College of Teacher Education","BSEd-SCI2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10591"
"3276","Adriana Beatriz Ruiz","College of Criminology & Administration","BSISM","FOURTH_YEAR","20","18","1","0","90","NONE","ACTIVE","2025-03276"
"10461","Adriana Beatriz Moreno","College of Teacher Education","BSEd-MAT2","FIRST_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10461"
"4877","Adriana Beatriz Sandoval","College of Business & Accountancy","BSIA1","SECOND_YEAR","20","16","1","2","80","MEDIUM","ACTIVE","2025-04877"
"1924","Adriana Beatriz Guzman","College of Computer Studies","BSIT","THIRD_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-01924"
"10421","Adriana Beatriz Mejia","College of Teacher Education","BSEd-MAT2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10421"
"2155","Adriana Beatriz Reyes","College of Teacher Education","BECEd","FIRST_YEAR","20","17","1","1","85","LOW","ACTIVE","2025-02155"
"4381","Adriana Beatriz Morales","College of Business & Accountancy","ABA1","THIRD_YEAR","20","15","1","2","75","MEDIUM","ACTIVE","2025-04381"
"6026","Adriana Beatriz Ruiz","College of Teacher Education","BECEd1","SECOND_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-06026"
"10304","Adriana Beatriz Vargas","College of Teacher Education","BSEd-FIL2","FOURTH_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10304"
"2806","Adriana Beatriz Mendoza","College of Teacher Education","BTVTEd-HEH","FOURTH_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-02806"
"5580","Adriana Beatriz Rojas","College of Business & Accountancy","BSBA-BE1","FIRST_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-05580"
"3710","Adriana Beatriz Aguilar","International School of Hospitality & Tourism Management","BSHM","FOURTH_YEAR","20","13","1","4","65","HIGH","ACTIVE","2025-03710"
"4955","Adriana Beatriz Reyes","College of Business & Accountancy","BSBA-MAN5","FIRST_YEAR","20","14","0","6","70","HIGH","ACTIVE","2025-04955"
"8194","Adriana Beatriz Navarro","College of Arts & Sciences","BSP2","SECOND_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-08194"
"1720","Adriana Beatriz Miranda","College of Computer Studies","ACT","THIRD_YEAR","20","16","1","2","80","MEDIUM","ACTIVE","2025-01720"
"2358","Adriana Beatriz Padilla","College of Teacher Education","BSEd-MAN","FIRST_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-02358"
"9647","Adriana Beatriz Moreno","College of Computer Studies","BSCS2","FOURTH_YEAR","20","16","1","1","80","MEDIUM","ACTIVE","2025-09647"
"1155","Adriana Beatriz Ortiz","College of Business & Accountancy","BSBA-MAN1","FIRST_YEAR","20","16","0","2","80","MEDIUM","ACTIVE","2025-01155"
"8131","Adriana Beatriz Castro","College of Arts & Sciences","BSP2","FOURTH_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-08131"
"9755","Adriana Beatriz Vargas","College of Computer Studies","BSIT2","FOURTH_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-09755"
"3085","Adriana Beatriz Moreno","College of Maritime Education & Training","BSMT","THIRD_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-03085"
"5307","Adriana Beatriz Mendoza","College of Business & Accountancy","BSBA-HR1","FIRST_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-05307"
"5309","Adriana Beatriz Mendoza","College of Business & Accountancy","BSBA-HR1","SECOND_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-05309"
"7809","Adriana Beatriz Torres","College of Arts & Sciences","ABCom2","FIRST_YEAR","20","18","2","0","90","NONE","ACTIVE","2025-07809"
"7818","Adriana Beatriz Moreno","College of Arts & Sciences","ABCom2","THIRD_YEAR","20","17","1","2","85","LOW","ACTIVE","2025-07818"
"9362","Adriana Beatriz Mendoza","College of Business & Accountancy","BSBA-MAN14","SECOND_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-09362"
"1291","Adriana Beatriz Perez","College of Business & Accountancy","BSBA-MAN2","THIRD_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-01291"
"9422","Adriana Beatriz Gutierrez","College of Business & Accountancy","BSBA-BE2","FOURTH_YEAR","20","15","0","4","75","MEDIUM","ACTIVE","2025-09422"
"5882","Adriana Beatriz Gonzalez","College of Computer Studies","BSIT1","FIRST_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-05882"
"5857","Adriana Beatriz Acosta","College of Computer Studies","BSIT1","SECOND_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-05857"
"7175","Adriana Beatriz Cruz","College of Criminology & Administration","BSISM1","FIRST_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-07175"
"9179","Adriana Beatriz Mendoza","College of Business & Accountancy","BSBA-MAN13","SECOND_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-09179"
"8339","Adriana Beatriz Contreras","College of Business & Accountancy","BSAIS2","THIRD_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-08339"
"3490","Adriana Beatriz Galvan","College of Engineering","BSCE-TEC","THIRD_YEAR","20","16","1","3","80","MEDIUM","ACTIVE","2025-03490"
"3441","Adriana Beatriz Reyes","College of Engineering","BSCE-TEC","THIRD_YEAR","20","12","1","3","60","HIGH","ACTIVE","2025-03441"
"5882","Adriana Beatriz Gonzalez","College of Computer Studies","BSIT1","FIRST_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-05882"
"8052","Adriana Beatriz Diaz","College of Arts & Sciences","BSM2","SECOND_YEAR","20","16","1","1","80","MEDIUM","ACTIVE","2025-08052"
"8194","Adriana Beatriz Navarro","College of Arts & Sciences","BSP2","SECOND_YEAR","20","18","1","1","90","NONE","ACTIVE","2025-08194"
"3041","Adriana Beatriz Alvarado","College of Maritime Education & Training","BSMT","THIRD_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-03041"
"7809","Adriana Beatriz Torres","College of Arts & Sciences","ABCom2","FIRST_YEAR","20","18","2","0","90","NONE","ACTIVE","2025-07809"
"8120","Adriana Beatriz Garcia","College of Arts & Sciences","BSP2","THIRD_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-08120"
"9714","Adriana Beatriz Cruz","College of Computer Studies","BSIT2","FOURTH_YEAR","20","14","3","1","70","HIGH","ACTIVE","2025-09714"
"4716","Adriana Beatriz Galvan","College of Business & Accountancy","BSREM1","FIRST_YEAR","20","17","1","2","85","LOW","ACTIVE","2025-04716"
"10304","Adriana Beatriz Vargas","College of Teacher Education","BSEd-FIL2","FOURTH_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10304"
"6392","Adriana Beatriz Valdez","College of Teacher Education","BSEd-ENG1","FIRST_YEAR","20","14","1","3","70","HIGH","ACTIVE","2025-06392"
"1924","Adriana Beatriz Guzman","College of Computer Studies","BSIT","THIRD_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-01924"
"2637","Adriana Beatriz Rodriguez","College of Teacher Education","BSEd-MAT","SECOND_YEAR","20","12","1","6","60","HIGH","ACTIVE","2025-02637"
"6485","Adriana Beatriz Velazquez","College of Teacher Education","BSEd-FIL1","SECOND_YEAR","20","11","4","3","55","HIGH","ACTIVE","2025-06485"
"9188","Adriana Beatriz Castro","College of Business & Accountancy","BSBA-MAN13","FOURTH_YEAR","20","16","1","1","80","MEDIUM","ACTIVE","2025-09188"
"4450","Adriana Beatriz Gutierrez","College of Business & Accountancy","BSAIS1","FIRST_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-04450"
"9936","Adriana Beatriz Morales","College of Teacher Education","BECEd2","FOURTH_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-09936"
"3526","Alberto Padilla","College of Engineering","BSELE-BRO","THIRD_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-03526"
"6206","Alberto Espinoza","College of Teacher Education","BSEd-MAN1","THIRD_YEAR","20","17","1","2","85","LOW","ACTIVE","2025-06206"
"10164","Alberto Rivas","College of Teacher Education","BSEd-MAN2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10164"
"1213","Alberto Sandoval","College of Business & Accountancy","BSBA-MAN2","THIRD_YEAR","20","18","2","0","90","NONE","ACTIVE","2025-01213"
"8935","Alberto Velazquez","College of Business & Accountancy","BSBA-MAN11","FOURTH_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-08935"
"5680","Alberto Gomez","College of Computer Studies","ACT1","SECOND_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-05680"
"6225","Alberto Soto","College of Teacher Education","BSEd-MAN1","SECOND_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-06225"
"868","Alberto Molina","College of Business & Accountancy","BSREM","FOURTH_YEAR","20","14","3","3","70","HIGH","ACTIVE","2025-00868"
"10036","Alberto Valdez","College of Teacher Education","BEEd-EC2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10036"
"10042","Alberto Diaz","College of Teacher Education","BEEd-EC2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10042"
"5654","Alberto Galvan","College of Computer Studies","ACT1","THIRD_YEAR","20","19","1","0","95","NONE","ACTIVE","2025-05654"
"10142","Alberto Rivas","College of Teacher Education","BSEd-MAN2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10142"
"6224","Alberto Navarro","College of Teacher Education","BSEd-MAN1","FOURTH_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-06224"
"10006","Alberto Rivas","College of Teacher Education","BEEd-EC2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10006"
"2402","Alberto Vargas","College of Teacher Education","BSEd-ENG","THIRD_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-02402"
"3505","Alberto Figueroa","College of Engineering","BSELE-BRO","THIRD_YEAR","20","15","1","1","75","MEDIUM","ACTIVE","2025-03505"
"9978","Alberto Ruiz","College of Teacher Education","BECEd2","SECOND_YEAR","20","14","1","4","70","HIGH","ACTIVE","2025-09978"
"6113","Alberto Rivera","College of Teacher Education","BEEd-EC1","SECOND_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-06113"
"6767","Alberto Rojas","College of Teacher Education","BTVTEd-HEH1","FIRST_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-06767"
"9960","Alberto Rivera","College of Teacher Education","BECEd2","SECOND_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-09960"
"8584","Alberto Lopez","College of Business & Accountancy","BSMA2","THIRD_YEAR","20","10","5","5","50","HIGH","ACTIVE","2025-08584"
"8510","Alberto Reyes","College of Business & Accountancy","BSMA2","SECOND_YEAR","20","18","1","0","90","NONE","ACTIVE","2025-08510"
"8562","Alberto Ruiz","College of Business & Accountancy","BSMA2","FOURTH_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-08562"
"11446","Alberto Mejia","College of Health Sciences","BSMedTech2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11446"
"1423","Alberto Reyes","College of Business & Accountancy","BSBA-HR","SECOND_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-01423"
"208","Alberto Mejia","College of Arts & Sciences","BSM","FIRST_YEAR","20","13","1","5","65","HIGH","ACTIVE","2025-00208"
"2828","Alberto Guzman","College of Teacher Education","BTVTEd-HEH","THIRD_YEAR","20","15","1","3","75","MEDIUM","ACTIVE","2025-02828"
"8975","Alberto Velazquez","College of Business & Accountancy","BSBA-MAN11","THIRD_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-08975"
"3977","Alberto Valencia","College of Arts & Sciences","ABCom1","FIRST_YEAR","20","15","2","1","75","MEDIUM","ACTIVE","2025-03977"
"2805","Alberto Castillo","College of Teacher Education","BTVTEd-HEH","FOURTH_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-02805"
"403","Alberto Rojas","College of Business & Accountancy","ABA","FIRST_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-00403"
"8582","Alberto Ruiz","College of Business & Accountancy","BSMA2","FOURTH_YEAR","20","17","1","1","85","LOW","ACTIVE","2025-08582"
"5150","Alberto Garcia","College of Business & Accountancy","BSBA-MAN7","FIRST_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-05150"
"5486","Alberto Velazquez","College of Business & Accountancy","BSBA-MAN9","FOURTH_YEAR","20","16","0","2","80","MEDIUM","ACTIVE","2025-05486"
"5161","Alberto Miranda","College of Business & Accountancy","BSBA-MAN7","FOURTH_YEAR","20","19","1","0","95","NONE","ACTIVE","2025-05161"
"6003","Alberto Salazar","College of Teacher Education","BECEd1","SECOND_YEAR","20","14","2","3","70","HIGH","ACTIVE","2025-06003"
"8420","Alberto Ortiz","College of Business & Accountancy","BSA2","FIRST_YEAR","20","14","4","2","70","HIGH","ACTIVE","2025-08420"
"190","Alberto Castro","College of Arts & Sciences","ABEng","THIRD_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-00190"
"8474","Alberto Galvan","College of Business & Accountancy","BSA2","THIRD_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-08474"
"11038","Alberto Galvan","College of Criminology & Administration","BSISM2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11038"
"7310","Alberto Torres","College of Engineering","BSCE-TEC1","FIRST_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-07310"
"7343","Alberto Reyes","College of Engineering","BSCE-TEC1","FOURTH_YEAR","20","16","2","1","80","MEDIUM","ACTIVE","2025-07343"
"9701","Alberto Flores","College of Computer Studies","BSIT2","SECOND_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-09701"
"7430","Alberto Sandoval","College of Engineering","BSELE-BRO1","THIRD_YEAR","20","18","2","0","90","NONE","ACTIVE","2025-07430"
"11021","Alberto Flores","College of Criminology & Administration","BSISM2","FIRST_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11021"
"2993","Alberto Valdez","College of Teacher Education","BTVTEd-II","THIRD_YEAR","20","17","0","2","85","LOW","ACTIVE","2025-02993"
"4363","Alberto Valdez","College of Business & Accountancy","ABA1","FOURTH_YEAR","20","17","1","2","85","LOW","ACTIVE","2025-04363"
"3089","Alberto Diaz","College of Maritime Education & Training","BSMT","SECOND_YEAR","20","18","1","0","90","NONE","ACTIVE","2025-03089"
"9461","Alberto Morales","College of Business & Accountancy","BSBA-BE2","SECOND_YEAR","20","17","1","1","85","LOW","ACTIVE","2025-09461"
"5069","Alberto Valdez","College of Business & Accountancy","BSBA-MAN6","THIRD_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-05069"
"6021","Alberto Castro","College of Teacher Education","BECEd1","FIRST_YEAR","20","15","0","3","75","MEDIUM","ACTIVE","2025-06021"
"6559","Alberto Ramirez","College of Teacher Education","BSEd-MAT1","FOURTH_YEAR","20","16","0","4","80","MEDIUM","ACTIVE","2025-06559"
"7240","Alberto Moreno","College of Criminology & Administration","BSPA1","FOURTH_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-07240"
"9446","Alberto Guerrero","College of Business & Accountancy","BSBA-BE2","FOURTH_YEAR","20","16","2","2","80","MEDIUM","ACTIVE","2025-09446"
"10996","Alberto Velazquez","College of Criminology & Administration","BSC2","THIRD_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10996"
"7215","Alberto Vega","College of Criminology & Administration","BSPA1","FIRST_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-07215"
"2960","Alberto Santos","College of Teacher Education","BTVTEd-II","FIRST_YEAR","20","14","3","3","70","HIGH","ACTIVE","2025-02960"
"4300","Alberto Santos","College of Arts & Sciences","BSP1","SECOND_YEAR","20","15","3","1","75","MEDIUM","ACTIVE","2025-04300"
"8225","Alberto Velazquez","College of Business & Accountancy","ABA2","FIRST_YEAR","20","13","3","4","65","HIGH","ACTIVE","2025-08225"
"8479","Alberto Torres","College of Business & Accountancy","BSA2","FIRST_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-08479"
"4292","Alberto Aguilar","College of Arts & Sciences","BSP1","FIRST_YEAR","20","20","0","0","100","NONE","ACTIVE","2025-04292"
"9205","Alberto Martinez","College of Business & Accountancy","BSBA-HR2","FIRST_YEAR","20","13","1","3","65","HIGH","ACTIVE","2025-09205"
"7211","Alberto Lopez","College of Criminology & Administration","BSPA1","FIRST_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-07211"
"4388","Alberto Morales","College of Business & Accountancy","ABA1","FIRST_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-04388"
"11141","Alberto Gomez","College of Criminology & Administration","BSPA2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11141"
"1277","Alberto Valencia","College of Business & Accountancy","BSBA-MAN2","FOURTH_YEAR","20","15","1","1","75","MEDIUM","ACTIVE","2025-01277"
"5891","Alberto Flores","College of Computer Studies","BSIT1","THIRD_YEAR","20","12","1","3","60","HIGH","ACTIVE","2025-05891"
"9172","Alberto Alvarado","College of Business & Accountancy","BSBA-MAN13","THIRD_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-09172"
"10553","Alberto Gutierrez","College of Teacher Education","BSEd-SCI2","FOURTH_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10553"
"6462","Alberto Martinez","College of Teacher Education","BSEd-FIL1","FIRST_YEAR","20","16","2","1","80","MEDIUM","ACTIVE","2025-06462"
"4247","Alberto Garcia","College of Arts & Sciences","BSP1","FOURTH_YEAR","20","14","1","4","70","HIGH","ACTIVE","2025-04247"
"10531","Alberto Silva","College of Teacher Education","BSEd-SCI2","FIRST_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10531"
"6481","Alberto Valdez","College of Teacher Education","BSEd-FIL1","FOURTH_YEAR","20","16","0","2","80","MEDIUM","ACTIVE","2025-06481"
